rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
229,Pearland,Texas,122149,91252,+33.86,46.3  ,119.9 ,2453 ,947,"https://en.wikipedia.org/wiki/Pearland,_Texas",nan,nan,nan,nan,nan,nan,nan, , 29.555, -95.3231,USA
230,Vallejo,California,121913,115942,+5.15,30.7  ,79.5 ,3951 ,1525,"https://en.wikipedia.org/wiki/Vallejo,_California",area code,county,• land,• mayor,nan,• type,• water, ,38.1079,-122.2640,USA
231,Ann Arbor,Michigan,121890,113934,+6.98,28.1  ,72.8 ,4298 ,1659,"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan",area code,county,• land,• mayor,• metro,• type,• water, , 42.276, -83.7309,USA
232,Berkeley,California,121643,112580,+8.05,10.5  ,27.2 ,11547 ,4458,"https://en.wikipedia.org/wiki/Berkeley,_California",area code,county,• land,• mayor,nan,• type,• water, ,37.8670,-122.2991,USA
233,Allentown,Pennsylvania,121433,118032,+2.88,17.5  ,45.3 ,6882 ,2657,"https://en.wikipedia.org/wiki/Allentown,_Pennsylvania",area codes,county,• land,• mayor,• metro,• type,• water, , 40.593, -75.4784,USA
234,Richardson,Texas,120981,99223,+21.93,28.6  ,74.1 ,3963 ,1530,"https://en.wikipedia.org/wiki/Richardson,_Texas",area code,counties,• land,nan,nan,• type,• water, , 32.972, -96.7081,USA
235,Odessa,Texas,120568,99940,+20.64,45.2  ,117.1 ,2608 ,1007,"https://en.wikipedia.org/wiki/Odessa,_Texas",area code,counties,• land,nan,nan,• type,• water, ,31.8838,-102.3411,USA
236,Arvada,Colorado,120492,106433,+13.21,38.6  ,100.0 ,3043 ,1175,"https://en.wikipedia.org/wiki/Arvada,_Colorado",area code,counties,• land,• mayor,nan,• type,• water, ,39.8337,-105.1503,USA
237,Cambridge,Massachusetts,118977,105162,+13.14,6.4  ,16.6 ,17289 ,6675,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",area code,county,• land,• mayor,nan,• type,• water, , 42.376, -71.1187,USA
238,Sugar Land,Texas,118600,78817,+50.48,34.0  ,88.1 ,3488 ,1347,"https://en.wikipedia.org/wiki/Sugar_Land,_Texas",nan,nan,nan,nan,nan,nan,nan, , 29.599, -95.6142,USA
239,Beaumont,Texas,118428,118296,+0.11,82.1  ,212.6 ,1441 ,556,"https://en.wikipedia.org/wiki/Beaumont,_Texas",area code,county,• land,nan,• metro,• type,• water, , 30.084, -94.1453,USA
240,Lansing,Michigan,118427,114297,+3.61,39.1  ,101.3 ,2967 ,1146,"https://en.wikipedia.org/wiki/Lansing,_Michigan",area code,counties,• land,• mayor,• metro,• type,• water, , 42.714, -84.5593,USA
241,Evansville,Indiana,117963,117429,+0.45,47.3  ,122.5 ,2526 ,975,"https://en.wikipedia.org/wiki/Evansville,_Indiana",area code,county,• land,• mayor,• metro,nan,• water, , 37.987, -87.5347,USA
242,Rochester,Minnesota,116961,106769,+9.55,54.6  ,141.4 ,2088 ,806,"https://en.wikipedia.org/wiki/Rochester,_Minnesota",area code,county,• land,• mayor,• metro,nan,• water, , 44.015, -92.4772,USA
